Date,RELIANCE.NS,HDFCBANK.NS,INFY.NS,TCS.NS,ICICIBANK.NS,HINDUNILVR.NS,SBIN.NS,BAJFINANCE.NS,BHARTIARTL.NS,ITC.NS,KOTAKBANK.NS,LT.NS,HCLTECH.NS,MARUTI.NS,SUNPHARMA.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS,NESTLEIND.NS,TECHM.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJFINSV.NS,HDFCLIFE.NS,TATAMOTORS.NS,POWERGRID.NS,COALINDIA.NS,ONGC.NS,ADANIPORTS.NS,GRASIM.NS,NTPC.NS,JSWSTEEL.NS,HEROMOTOCO.NS,CIPLA.NS,DRREDDY.NS,DIVISLAB.NS,APOLLOHOSP.NS,EICHERMOT.NS,BRITANNIA.NS,INDUSINDBK.NS,SBILIFE.NS,HDFCAMC.NS,M&M.NS,TATACONSUM.NS,SHRIRAMFIN.NS,ADANIENT.NS,TRENT.NS,BEL.NS,BPCL.NS,IOC.NS,^NSEI
2020-03-26 00:00:00+05:30,478.872802734375,865.03662109375,568.9840698242188,1622.0108642578125,319.2389831542969,2035.3970947265625,177.85362243652344,2736.606201171875,453.7109375,123.657958984375,1368.8143310546875,768.1804809570312,374.08056640625,4683.73046875,321.721923828125,906.8313598632812,3151.90234375,88.59309387207031,1407.7232666015625,445.4023742675781,1560.648681640625,339.9189453125,513.81982421875,471.5523376464844,70.3628921508789,67.50251007080078,79.2251968383789,49.113990783691406,242.10423278808594,459.7557373046875,60.66688537597656,139.24403381347656,1558.0706787109375,372.827880859375,587.0132446289062,1820.459716796875,1199.142333984375,1425.2691650390625,2342.82568359375,420.9504089355469,611.5501708984375,1966.6771240234375,270.55340576171875,266.5211181640625,121.3680191040039,139.90098571777344,492.7127685546875,20.444738388061523,109.96458435058594,36.8207893371582,8641.4501953125
2020-03-27 00:00:00+05:30,478.6033630371094,868.2526245117188,577.5675659179688,1652.39599609375,328.5189208984375,1984.9967041015625,180.8063201904297,2490.343994140625,432.7459411621094,129.03439331054688,1394.885498046875,767.3095703125,359.83416748046875,4461.06591796875,321.67437744140625,915.37890625,3068.399169921875,89.02974700927734,1425.5513916015625,435.80615234375,1548.2945556640625,358.1893005371094,488.199951171875,435.55255126953125,70.26350402832031,68.20588684082031,84.65687561035156,48.88642120361328,245.1280975341797,449.51513671875,63.218467712402344,140.77774047851562,1436.40966796875,393.58612060546875,580.6325073242188,1800.402099609375,1150.963623046875,1382.9541015625,2289.2431640625,397.0009460449219,596.4133911132812,1910.1993408203125,279.082275390625,271.9652099609375,135.11834716796875,127.68147277832031,480.3390808105469,22.205387115478516,108.58175659179688,36.301517486572266,8660.25
2020-03-30 00:00:00+05:30,462.81610107421875,798.3662719726562,554.560546875,1610.7349853515625,302.9508056640625,2025.614013671875,172.45571899414062,2196.279052734375,415.49200439453125,125.87179565429688,1289.8031005859375,732.1089477539062,350.09991455078125,4156.0673828125,316.3963623046875,921.826416015625,3012.079345703125,89.34510803222656,1477.4508056640625,455.4308166503906,1539.41455078125,366.5528869628906,465.2952880859375,407.40460205078125,67.729248046875,66.3515396118164,85.58892822265625,48.052059173583984,245.469482421875,439.37200927734375,62.266387939453125,132.365478515625,1343.283447265625,416.85467529296875,596.1113891601562,1830.7060546875,1083.158203125,1287.6624755859375,2239.010498046875,399.2220764160156,615.3590087890625,1878.7059326171875,260.0345458984375,268.7655944824219,113.54261779785156,128.3797149658203,450.57257080078125,22.03842544555664,107.02362823486328,36.25431442260742,8281.099609375
2020-03-31 00:00:00+05:30,500.22943115234375,827.4055786132812,567.6567993164062,1653.8450927734375,312.95574951171875,2131.468505859375,181.63677978515625,2170.516357421875,424.98651123046875,135.7549285888672,1292.1461181640625,741.1382446289062,364.6387023925781,4117.51611328125,335.0358581542969,912.1065673828125,3167.22705078125,95.43406677246094,1538.02099609375,488.8877868652344,1608.4732666015625,377.3558349609375,458.3126220703125,435.8982849121094,70.61134338378906,67.82223510742188,90.0242691040039,51.80672836303711,245.1280975341797,464.3396301269531,64.13247680664062,135.94418334960938,1380.421630859375,408.26171875,621.2957153320312,1922.68115234375,1123.397705078125,1264.7542724609375,2433.789306640625,339.2518310546875,634.1561279296875,1937.1090087890625,270.0322265625,281.6116943359375,123.09146118164062,137.25759887695312,481.38262939453125,22.60000991821289,123.4423828125,38.54381561279297,8597.75
2020-04-01 00:00:00+05:30,485.2730712890625,796.4462890625,533.4115600585938,1547.564697265625,300.7758483886719,2021.2554931640625,172.13279724121094,2173.994140625,406.1421203613281,131.56446838378906,1178.0906982421875,709.8336181640625,345.5461120605469,4077.236572265625,326.71466064453125,914.4021606445312,3065.519287109375,91.94081115722656,1477.0638427734375,441.9442443847656,1547.3775634765625,357.0940856933594,449.3983154296875,424.58966064453125,67.53047943115234,65.9039306640625,89.6385726928711,49.87250518798828,238.78773498535156,464.388427734375,61.695125579833984,132.9232177734375,1417.7760009765625,399.4756774902344,616.1692504882812,1814.3697509765625,1073.8875732421875,1255.647216796875,2321.465576171875,330.5122375488281,628.319091796875,2003.9925537109375,258.5657043457031,267.428466796875,115.82502746582031,133.6166534423828,462.8468933105469,20.96078872680664,118.00840759277344,37.269248962402344,8253.7998046875
2020-04-03 00:00:00+05:30,483.9256591796875,781.278564453125,518.2799072265625,1498.1602783203125,277.0926818847656,1997.5623779296875,161.936767578125,2162.38623046875,408.6482849121094,140.65696716308594,1137.4134521484375,710.1085815429688,339.07049560546875,3851.73974609375,357.5269470214844,842.84619140625,2968.839111328125,87.33163452148438,1425.1788330078125,450.33013916015625,1467.943359375,324.03814697265625,450.28173828125,417.08355712890625,64.8968505859375,66.58599090576172,88.5457992553711,52.98241424560547,238.78773498535156,443.46826171875,60.5907096862793,130.78526306152344,1367.9703369140625,433.70263671875,626.4818725585938,1837.6175537109375,1173.20361328125,1224.593017578125,2320.017333984375,302.45855712890625,643.2085571289062,1996.107666015625,266.0047302246094,255.15542602539062,97.0068359375,128.72886657714844,447.49151611328125,21.233993530273438,123.53974151611328,37.52888107299805,8083.7998046875
2020-04-07 00:00:00+05:30,541.70751953125,860.2367553710938,565.444580078125,1607.74658203125,315.22735595703125,2267.2294921875,171.99436950683594,2207.299072265625,453.22900390625,143.5428466796875,1194.441162109375,734.8590087890625,376.9632568359375,4372.2978515625,396.89813232421875,925.5385131835938,3201.0478515625,93.105224609375,1607.65869140625,475.3580322265625,1567.2601318359375,387.1630859375,471.6590576171875,464.6881408691406,66.83480834960938,67.35330963134766,90.08853149414062,55.295902252197266,242.00669860839844,505.74102783203125,62.114051818847656,146.95916748046875,1529.79541015625,475.2674255371094,713.3627319335938,1998.8519287109375,1209.1036376953125,1264.768798828125,2565.52783203125,370.6855163574219,727.4493408203125,2056.52783203125,304.19488525390625,271.774169921875,100.28604888916016,137.8061981201172,454.0511169433594,20.945613861083984,136.7643280029297,39.18109893798828,8792.2001953125
2020-04-08 00:00:00+05:30,535.44189453125,853.3250732421875,558.8964233398438,1544.576171875,308.3157958984375,2282.020751953125,168.8571319580078,2285.223388671875,444.987548828125,141.24998474121094,1184.0726318359375,739.8549194335938,386.94818115234375,4510.99560546875,415.2999267578125,892.3248291015625,3178.54931640625,93.59040069580078,1591.86376953125,483.18212890625,1552.92724609375,389.65228271484375,460.0395812988281,470.71282958984375,67.1826400756836,67.50251007080078,88.28868865966797,56.47160720825195,244.6891632080078,499.9380187988281,64.8941421508789,143.70579528808594,1575.148193359375,495.0602111816406,733.2314453125,2096.578369140625,1246.5811767578125,1270.7999267578125,2512.171630859375,385.4607849121094,734.8692016601562,2125.932861328125,309.31219482421875,281.1819152832031,110.9434814453125,137.75634765625,459.765869140625,20.156360626220703,133.33645629882812,38.59102249145508,8748.75
2020-04-09 00:00:00+05:30,547.9280395507812,888.0281372070312,563.0111083984375,1599.5504150390625,331.27392578125,2199.859375,173.2400360107422,2499.69873046875,471.0612487792969,146.46827697753906,1269.0657958984375,745.0800170898438,391.9197082519531,5114.51318359375,432.18011474609375,990.4028930664062,3285.527587890625,95.43406677246094,1588.8870849609375,471.3812561035156,1593.8509521484375,418.3273010253906,481.1773376464844,466.41656494140625,74.1394271850586,70.10287475585938,90.50634765625,58.63337326049805,245.71334838867188,517.4447021484375,66.34130859375,154.58131408691406,1721.4954833984375,559.6038208007812,720.9976806640625,2233.791748046875,1262.2628173828125,1327.1812744140625,2535.84033203125,381.8393859863281,731.5551147460938,2243.747314453125,361.4328308105469,295.17413330078125,125.942138671875,142.09552001953125,461.7536315917969,21.29470443725586,134.3492431640625,39.36992263793945,9111.900390625
2020-04-13 00:00:00+05:30,534.0945434570312,859.5167236328125,564.0287475585938,1593.3011474609375,319.62567138671875,2175.93408203125,169.31849670410156,2240.5556640625,493.71307373046875,143.58238220214844,1247.1319580078125,793.3433837890625,382.8955993652344,5072.74462890625,439.6929626464844,944.4898681640625,3383.184326171875,91.79524993896484,1566.2657470703125,455.4740295410156,1622.323974609375,417.13250732421875,448.35015869140625,471.8979797363281,73.79158782958984,68.1845703125,93.78461456298828,56.92670822143555,256.3944396972656,531.050048828125,67.52188873291016,155.836181640625,1659.3680419921875,572.396728515625,745.893310546875,2263.080810546875,1261.8192138671875,1294.1763916015625,2449.357421875,396.3249816894531,700.1934204101562,2333.87353515625,343.8539733886719,291.353759765625,120.19420623779297,145.63668823242188,451.0694885253906,21.400955200195312,136.37478637695312,39.25191116333008,8993.849609375
