Date,RELIANCE.NS,HDFCBANK.NS,INFY.NS,TCS.NS,ICICIBANK.NS,HINDUNILVR.NS,SBIN.NS,BAJFINANCE.NS,BHARTIARTL.NS,ITC.NS,KOTAKBANK.NS,LT.NS,HCLTECH.NS,MARUTI.NS,SUNPHARMA.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS,NESTLEIND.NS,TECHM.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJFINSV.NS,HDFCLIFE.NS,TATAMOTORS.NS,POWERGRID.NS,COALINDIA.NS,ONGC.NS,ADANIPORTS.NS,GRASIM.NS,NTPC.NS,JSWSTEEL.NS,HEROMOTOCO.NS,CIPLA.NS,DRREDDY.NS,DIVISLAB.NS,APOLLOHOSP.NS,EICHERMOT.NS,BRITANNIA.NS,INDUSINDBK.NS,SBILIFE.NS,HDFCAMC.NS,M&M.NS,TATACONSUM.NS,SHRIRAMFIN.NS,ADANIENT.NS,TRENT.NS,BEL.NS,BPCL.NS,IOC.NS
2020-06-29 00:00:00+05:30,0.0012392153,0.0006761674,0.0008407624,0.0002208746,0.002447845,0.0010438162,0.0028433043,0.0045654452,0.002596917,0.002154732,-0.0011259678,0.0023253702,0.0020333172,0.0017370943,0.0023454775,0.002546325,0.0017580572,0.0020573959,0.00033651674,0.0015806285,0.003020672,0.0013383891,0.0032824124,-0.00020763229,0.0034972988,0.0005753448,0.0029630824,0.0025668517,0.003270149,0.0012642731,0.00350215,0.001562769,0.00020959166,-7.2908624e-05,0.00167471,0.0009721965,0.0033713258,5.0264374e-05,0.0025805305,0.008891975,-0.0011340707,0.0035844762,0.0030777357,0.0020375927,0.004122808,0.007686339,0.002605747,0.002981201,0.0021034211,0.0016212121
2020-06-30 00:00:00+05:30,0.0013463779,0.0006081481,0.0010205205,0.0004176949,0.0025867952,0.001248119,0.003202692,0.0047482443,0.0025862686,0.0023161091,-0.0007283286,0.0020784086,0.0021625047,0.0020881786,0.0022512143,0.0028199214,0.0017969413,0.001844196,0.00054777623,0.0015886996,0.0030978858,0.0019592512,0.0032581615,3.9148304e-05,0.0034581842,0.0007291361,0.0029396832,0.0023508903,0.0031479793,0.0012025007,0.0033514001,0.0015774815,0.00053494266,0.00022433836,0.0017068967,0.0015120667,0.0036718205,0.00020129248,0.0026094003,0.008874936,-0.0012548506,0.0032910882,0.0030413414,0.0019801802,0.003931021,0.007914678,0.002627882,0.003548748,0.001935757,0.0018514645
2020-07-01 00:00:00+05:30,0.0014781761,0.00060493755,0.0012443492,0.0006683129,0.0027396318,0.0012639837,0.0036720044,0.005017166,0.0026371335,0.0024279885,-0.0001954444,0.002025661,0.0023812011,0.0020215372,0.0020240762,0.003034113,0.0018693842,0.002005669,0.0008273299,0.001727555,0.0031849716,0.0024966495,0.0032094317,0.00039224132,0.0032112065,0.001065332,0.0031887516,0.0022315846,0.0031951915,0.0012344982,0.0034490027,0.0016692984,0.0009785978,0.0005788975,0.0020471185,0.0020362989,0.0038753639,0.00035876106,0.0025988866,0.008809301,-0.0011173591,0.0032076486,0.0030891944,0.0019954252,0.003829512,0.008561274,0.00270273,0.0040501985,0.002113505,0.0022232526
2020-07-02 00:00:00+05:30,0.0015671424,0.000692469,0.0014201432,0.00080984476,0.0028096843,0.0013853633,0.004067605,0.005200032,0.0027127191,0.0026279858,-4.2041138e-05,0.0022800872,0.0025241973,0.0021789595,0.0021521493,0.0030896908,0.002085299,0.001986319,0.00066846254,0.0019543204,0.0032116494,0.002391147,0.003530811,0.00067516684,0.0035521104,0.0013489542,0.0035458147,0.0024144887,0.0037176127,0.001537585,0.0039746123,0.001882754,0.0011099591,0.0005321279,0.0020609212,0.0022690431,0.0040377546,0.0005527073,0.0027052532,0.009219233,-0.0009835344,0.003470109,0.0031376614,0.002110728,0.0042881756,0.008761392,0.0031080905,0.004393155,0.0022922715,0.0023574415
2020-07-03 00:00:00+05:30,0.0013247934,0.00013345576,0.0008577205,0.00068695395,0.00245122,0.0010619792,0.003459562,0.0047922153,0.002400688,0.0021331084,-0.000246367,0.0016947006,0.0022177573,0.0018040419,0.0017870183,0.0026541874,0.0016688624,0.001445694,0.00055207656,0.0015144952,0.002820988,0.0022215976,0.0032991038,5.4423235e-05,0.0032988137,0.001202744,0.0030709687,0.0016000583,0.002679006,0.0013521394,0.0033241962,0.0015006217,0.00096846116,0.00036481593,0.0018243676,0.0021150464,0.0039148238,0.0004285782,0.0024929722,0.007799139,-0.001279318,0.002782204,0.0027943149,0.0018234743,0.0039913347,0.008028091,0.0028458636,0.003420707,0.0019165319,0.0020075093
2020-07-06 00:00:00+05:30,0.0010401026,-0.00022838515,0.0004984542,0.00055646664,0.0022538975,0.0007970831,0.0032016893,0.0044800323,0.0021897005,0.0019275154,-0.0006716059,0.0011628459,0.0019100767,0.0014391274,0.0015169957,0.0024773355,0.0013543231,0.0012154611,0.0005598508,0.0011349656,0.00261187,0.0024719194,0.003266582,-0.00027161936,0.002921552,0.000885108,0.0027512144,0.0006894932,0.0018939079,0.0010072779,0.0025485926,0.0013044731,0.0006938228,0.00017031959,0.0016799086,0.0017908295,0.0038614962,0.00022931775,0.0021886842,0.006782873,-0.0016383076,0.002365334,0.0024656164,0.0015432334,0.0035146663,0.007597995,0.0026674776,0.0029056147,0.001663323,0.001772396
2020-07-07 00:00:00+05:30,0.0009638799,-0.00028005854,0.00017639804,0.0004800228,0.0023444833,0.0006646101,0.0032904553,0.004321058,0.0021082216,0.0017543383,-0.00073740096,0.0008714747,0.0018176509,0.0012015859,0.0014422821,0.0025107232,0.001208716,0.001182418,0.00048161866,0.00097049563,0.0024767383,0.0025819764,0.0033801557,-0.0003658968,0.0027914692,0.0009881258,0.0027391894,0.0005594921,0.0017739107,0.0008362733,0.0023338199,0.0013101354,0.00066141115,0.0004755594,0.0018519073,0.0016963378,0.0037391994,0.00017373741,0.0020126416,0.0063851196,-0.0017124481,0.0024429315,0.0023363314,0.0015363162,0.0034001549,0.007845654,0.0026183564,0.002853531,0.0017143149,0.0019429747
2020-07-08 00:00:00+05:30,0.0011931545,0.00014366776,0.00042739604,0.00056897313,0.0026399416,0.0010477091,0.0036570106,0.004591745,0.002380511,0.0019447019,-0.0005308411,0.0012405693,0.0019173718,0.0011393236,0.0015555504,0.0027302292,0.0013665542,0.0014573955,0.00016409061,0.0012058805,0.0026823496,0.0024148077,0.0034576023,-0.000108418426,0.0032011692,0.0013510967,0.0030350157,0.0014687629,0.0029107877,0.001080729,0.002886252,0.0016675737,0.0007775206,0.00081042084,0.0021776077,0.0015373471,0.0038439846,0.00040867733,0.0021972158,0.0072366605,-0.0013000129,0.0032887808,0.0027068642,0.0017354443,0.003909856,0.007723432,0.0028106351,0.0036149558,0.002139346,0.0023348592
2020-07-09 00:00:00+05:30,0.0014873049,0.00043409647,0.00060648395,0.0005836501,0.0027535623,0.0014141027,0.0037723673,0.0048587536,0.002593722,0.0020824037,-0.0007055862,0.0017474609,0.0020154524,0.0011933397,0.0018580242,0.0029289306,0.0015431133,0.0015722795,0.000110040266,0.0013310807,0.0029604528,0.002515937,0.0036430736,-0.00010256392,0.0034435953,0.0016329439,0.0032891,0.0018665139,0.0034331435,0.0011456426,0.00343351,0.001878038,0.000910345,0.0008099209,0.002508427,0.0015489435,0.004112143,0.0005272517,0.0025640163,0.008060228,-0.0010608932,0.0036061911,0.0029630351,0.0019448025,0.0043062917,0.00828255,0.0032929508,0.0036986792,0.002172081,0.0022600486
2020-07-10 00:00:00+05:30,0.0017423057,0.0004595878,0.0008638881,0.0007244899,0.0027155012,0.0017052094,0.0040085725,0.0050850282,0.0027852757,0.0021307808,-0.0005357735,0.0019830859,0.002150575,0.0013611914,0.0020607745,0.0030248463,0.0017448833,0.0016403574,1.0072692e-05,0.0016847522,0.0030676317,0.0022742494,0.003772483,0.00024051657,0.0038205548,0.0018859751,0.0034724036,0.0024332015,0.0040592016,0.0014087919,0.004009145,0.002020876,0.001248045,0.0007403789,0.0025345508,0.001806009,0.00427018,0.0006705381,0.0027743366,0.008477065,-0.00068962376,0.0036932796,0.0031490284,0.0020790047,0.004684378,0.00854044,0.0035868946,0.0040186145,0.002277213,0.0023635207
